구,동,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도
종로구,평창동,밀레니엄,84,202204,4,56000,5,2017
종로구,평동,경희궁자이(3단지),84.9443,202204,5,230000,19,2017
종로구,인의동,효성쥬얼리시티,92.81,202204,9,108000,9,2006
종로구,숭인동,종로청계힐스테이트,59.9426,202204,11,92000,17,2009
종로구,숭인동,종로유케이201,12.08,202204,12,10000,7,2013
종로구,내수동,경희궁의아침4단지,124.17,202204,14,185000,14,2004
종로구,효제동,포레스트힐시티,14.6825,202204,20,17700,8,2017
종로구,명륜2가,아남2,59.4,202204,21,87000,2,1996
종로구,창신동,창신쌍용1,79.87,202204,25,89700,9,1992
종로구,무악동,인왕산아이파크,157.289,202204,26,241000,15,2008
종로구,연건동,이화에수풀,16.98,202204,26,18000,5,2014
종로구,연건동,이화에수풀,19.86,202205,9,24000,7,2014
종로구,연건동,이화에수풀,16.98,202205,13,16000,5,2014
종로구,충신동,CS타워,21.94,202205,19,16000,11,2011
종로구,무악동,인왕산아이파크,84.858,202205,23,135000,7,2008
종로구,평창동,삼성,59.97,202205,27,67000,2,1998
종로구,숭인동,삼전솔하임2차,14.69,202205,30,12000,5,2012
종로구,효제동,포레스트힐시티,16.672,202206,9,17900,5,2017
종로구,사직동,광화문스페이스본(101동~105동),158.99,202206,14,185000,8,2008
종로구,숭인동,삼전솔하임2차,16.67,202206,18,12000,10,2012
종로구,숭인동,종로청계힐스테이트,59.9426,202207,13,85000,2,2009
종로구,이화동,송림아마레스아파트,84.42,202207,19,36500,4,2004
종로구,창신동,두산,59.95,202207,25,90000,8,1999
종로구,익선동,현대뜨레비앙,48.54,202208,4,37500,2,2003
종로구,숭인동,종로중흥S클래스,17.811,202208,22,13300,8,2013
종로구,익선동,현대뜨레비앙,48.54,202208,26,40000,7,2003
종로구,평동,경희궁자이(3단지),84.614,202209,16,189000,7,2017
종로구,평창동,엘리시아,236.07,202209,19,106076,2,2009
종로구,무악동,경희궁롯데캐슬,59.6737,202209,21,110000,2,2019
종로구,숭인동,삼전솔하임4차,15.09,202209,26,12500,10,2014
종로구,숭인동,삼전솔하임4차,15.09,202209,28,12510,16,2014
종로구,익선동,운현신화타워,84.26,202211,2,65000,11,1998
종로구,동숭동,동성아파트(1동),57.96,202211,11,35000,1,1999
종로구,효제동,포레스트힐시티,16.672,202212,8,16000,5,2017
종로구,무악동,현대,60,202212,15,75000,13,2000
종로구,숭인동,종로청계힐스테이트,59.9426,202212,22,73000,18,2009
중구,신당동,신당역솔하임,14.08,202201,4,16000,19,2016
